"","replication","l_seq","n_seq","motif","p.value","p.value.adj","criterion","nnoi","n.pos05","n.pos001","n.neg05","n.neg001","n.pos.adj05","n.pos.adj001","n.neg.adj05","n.neg.adj001"
"1320",5,16,500,"2.1.2_2.0",0.00183281541353075,0.619491609773394,"cs",1,0,0,1,1,0,0,0,0
"1321",5,20,500,"3.4_3",0.709171777498375,1,"ig",1,0,0,3,1,0,0,0,0
"1322",5,20,500,"2.2_4",0.0206466389170684,1,"ig",1,0,0,2,1,0,0,0,0
"1323",5,20,500,"1.3_4",0.584757149174906,1,"ig",1,0,0,3,1,0,0,0,0
"1324",5,20,500,"4.4.1_1.0",0.00146695871332814,0.495098565748246,"ig",1,0,0,2,1,0,0,0,0
"1325",5,20,500,"2.1.2_2.0",0.000114293332972859,0.0771479997566799,"ig",1,0,0,2,0,0,0,0,0
"1326",5,20,500,"3.4_3",0.709171777498375,1,"kl",1,0,0,3,1,0,0,0,0
"1327",5,20,500,"2.2_4",0.0206466389170684,1,"kl",1,0,0,2,1,0,0,0,0
"1328",5,20,500,"1.3_4",0.584757149174906,1,"kl",1,0,0,3,1,0,0,0,0
"1329",5,20,500,"4.4.1_1.0",0.00146695871332814,0.495098565748246,"kl",1,0,0,2,1,0,0,0,0
"1330",5,20,500,"2.1.2_2.0",0.000114293332972859,0.0771479997566799,"kl",1,0,0,2,0,0,0,0,0
"1331",5,20,500,"3.4_3",0.709171777498375,1,"cs",1,0,0,3,1,0,0,0,0
"1332",5,20,500,"2.2_4",0.0206466389170684,1,"cs",1,0,0,2,1,0,0,0,0
"1333",5,20,500,"1.3_4",0.584757149174906,1,"cs",1,0,0,3,1,0,0,0,0
"1334",5,20,500,"4.4.1_1.0",0.00146695871332814,0.495098565748246,"cs",1,0,0,2,1,0,0,0,0
"1335",5,20,500,"2.1.2_2.0",0.000114293332972859,0.0771479997566799,"cs",1,0,0,2,0,0,0,0,0
"1336",5,24,500,"3.4_3",0.479932436015898,1,"ig",1,0,0,4,0,0,0,0,0
"1337",5,24,500,"2.2_4",0.00199163890984932,1,"ig",1,0,0,3,0,0,0,0,0
"1338",5,24,500,"1.3_4",0.79915133435484,1,"ig",1,0,0,4,0,0,0,0,0
"1339",5,24,500,"4.4.1_1.0",0.0126427676441538,1,"ig",1,0,0,3,0,0,0,0,0
"1340",5,24,500,"2.1.2_2.0",0.00515805609558662,1,"ig",1,0,0,3,0,0,0,0,0
"1341",5,24,500,"3.4_3",0.479932436015898,1,"kl",1,0,0,4,0,0,0,0,0
"1342",5,24,500,"2.2_4",0.00199163890984932,1,"kl",1,0,0,3,0,0,0,0,0
"1343",5,24,500,"1.3_4",0.79915133435484,1,"kl",1,0,0,4,0,0,0,0,0
"1344",5,24,500,"4.4.1_1.0",0.0126427676441538,1,"kl",1,0,0,3,0,0,0,0,0
"1345",5,24,500,"2.1.2_2.0",0.00515805609558662,1,"kl",1,0,0,3,0,0,0,0,0
"1346",5,24,500,"3.4_3",0.479932436015898,1,"cs",1,0,0,4,0,0,0,0,0
"1347",5,24,500,"2.2_4",0.00199163890984932,1,"cs",1,0,0,3,0,0,0,0,0
"1348",5,24,500,"1.3_4",0.79915133435484,1,"cs",1,0,0,4,0,0,0,0,0
"1349",5,24,500,"4.4.1_1.0",0.0126427676441538,1,"cs",1,0,0,3,0,0,0,0,0
"1350",5,24,500,"2.1.2_2.0",0.00515805609558662,1,"cs",1,0,0,3,0,0,0,0,0
"1351",5,8,750,"3.4_3",0.0191346574865271,0.517401138435692,"ig",1,0,0,46,7,0,0,5,4
"1352",5,8,750,"2.2_4",2.86595043993051e-10,6.45794165797674e-08,"ig",1,0,0,46,6,0,0,4,3
"1353",5,8,750,"1.3_4",0.00413915564430304,0.254369928686259,"ig",1,0,0,46,7,0,0,5,4
"1354",5,8,750,"4.4.1_1.0",6.90469903474877e-12,2.33378827374509e-09,"ig",1,1,0,45,6,0,0,4,3
"1355",5,8,750,"2.1.2_2.0",0,0,"ig",1,1,0,45,6,0,0,4,3
"1356",5,8,750,"3.4_3",0.0191346574865271,0.517401138435692,"kl",1,0,0,46,7,0,0,5,4
"1357",5,8,750,"2.2_4",2.86595043993051e-10,6.45794165797674e-08,"kl",1,0,0,46,6,0,0,4,3
"1358",5,8,750,"1.3_4",0.00413915564430304,0.254369928686259,"kl",1,0,0,46,7,0,0,5,4
"1359",5,8,750,"4.4.1_1.0",6.90469903474877e-12,2.33378827374509e-09,"kl",1,1,0,45,6,0,0,4,3
"1360",5,8,750,"2.1.2_2.0",0,0,"kl",1,1,0,45,6,0,0,4,3
"1361",5,8,750,"3.4_3",0.0191346574865271,0.517401138435692,"cs",1,0,0,46,7,0,0,5,4
"1362",5,8,750,"2.2_4",2.86595043993051e-10,6.45794165797674e-08,"cs",1,0,0,46,6,0,0,4,3
"1363",5,8,750,"1.3_4",0.00413915564430304,0.254369928686259,"cs",1,0,0,46,7,0,0,5,4
"1364",5,8,750,"4.4.1_1.0",6.90469903474877e-12,2.33378827374509e-09,"cs",1,1,0,45,6,0,0,4,3
"1365",5,8,750,"2.1.2_2.0",0,0,"cs",1,1,0,45,6,0,0,4,3
"1366",5,12,750,"3.4_3",0.150195184707452,1,"ig",1,0,0,9,2,0,0,2,2
"1367",5,12,750,"2.2_4",0.0173258610924565,1,"ig",1,0,0,8,2,0,0,2,2
